Model,PromptType,Acc,CR,LiMem,Confidence, Avg_ms
gpt-oss:120b,zero-shot,0.975,0.0,0.975,0.9171751248392561,748490.2550000115
llama4:latest,zero-shot,0.1,0.0,0.1,0.9851711067800454,111655.52460000617
gpt-oss:120b,few-shot,0.95,0.0,0.95,0.9160824567692163,750791.0918000271
llama4:latest,few-shot,0.075,0.3333333333333333,0.05,0.9876022824348911,110335.73380002053
gpt-oss:120b,chain-of-thought,0.475,0.0,0.475,0.9019101044055917,563344.4492999697
llama4:latest,chain-of-thought,0.025,0.0,0.025,0.9843609299386721,113719.52659997623
llama4:latest,self-consistency,0.075,0.0,0.075,0.9873468131941298,111252.95469997218
gpt-oss:120b,self-consistency,0.0,0.0,0.0,0.9109720870923836,770597.9422000237
gpt-oss:120b,tree-of-thought,0.875,0.0,0.875,0.9198498555587084,754825.7243999979
llama4:latest,tree-of-thought,0.1,0.0,0.1,0.9855463241367384,113391.42280002125
gpt-oss:120b,persona,0.975,0.0,0.975,0.915830811609329,814664.5326999715
llama4:latest,persona,0.05,0.0,0.05,0.9863505111744009,111033.5229000193
gpt-oss:120b,self-ask,0.95,0.0,0.95,0.9156186511263594,719816.0373000428
llama4:latest,self-ask,0.05,0.0,0.05,0.9847714120483089,110644.69799998915
