Model,PromptType,Acc,CR,LiMem,Confidence, Avg_ms
gpt-oss:120b,zero-shot,1.0,0.0,1.0,0.9137945622065068,543171.2584999623
llama4:latest,zero-shot,0.15,0.5,0.075,0.983180391054442,83990.77139998553
gpt-oss:120b,few-shot,0.975,0.0,0.975,0.921880209795306,465629.24889998976
llama4:latest,few-shot,0.25,0.4,0.15,0.9875745258867608,78308.56029997813
gpt-oss:120b,chain-of-thought,0.975,0.0,0.975,0.9224829264857468,465992.37549997633
llama4:latest,chain-of-thought,0.275,0.45454545454545453,0.15,0.9845273250550266,78179.08460000763
llama4:latest,self-consistency,0.225,0.4444444444444444,0.125,0.9849041121918393,79042.02500003157
gpt-oss:120b,self-consistency,0.0,0.0,0.0,0.9173630704095345,471943.9612000133
gpt-oss:120b,tree-of-thought,1.0,0.025,0.975,0.9169202239607745,492760.28430002043
llama4:latest,tree-of-thought,0.25,0.3,0.175,0.9834741079202391,79528.66690000519
gpt-oss:120b,persona,1.0,0.0,1.0,0.9242204486446703,444352.6550999959
llama4:latest,persona,0.25,0.3,0.175,0.9860017931655696,79149.43119999953
gpt-oss:120b,self-ask,0.975,0.0,0.975,0.9353307363944661,399326.0614000028
llama4:latest,self-ask,0.3,0.3333333333333333,0.2,0.9839360941569039,79847.89939998882
